19 | Q4
19 Q4 | Q16
19 Q4 Q16 | C4
19 Q4 Q16 C4 | D16
19 Q4 Q16 C4 D16 | C14
19 Q4 Q16 C4 D16 C14 | F17
19 Q4 Q16 C4 D16 C14 F17 | D10
19 Q4 Q16 C4 D16 C14 F17 D10 | F3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 | D3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 | J3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 | L3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 | F5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 | G4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 | F4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 | D7
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 | J5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 | R14
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 | R12
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 | K4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 | J4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 | R17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 | R16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 | Q17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 | P16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 | S16
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 | S15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 | S17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 | R15
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 | O17
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 | O3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 | O4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 | N4
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 | P3
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 | O5
19 Q4 Q16 C4 D16 C14 F17 D10 F3 D3 J3 L3 F5 G4 F4 D7 J5 R14 R12 K4 J4 R17 R16 Q17 P16 S16 S15 S17 R15 O17 O3 O4 N4 P3 O5 | P4
